adwaita-icon-theme	gtk-update-icon-cache, hicolor-icon-theme	librsvg2-common
alacritty	libc6 (>= 2.39), libfontconfig1 (>= 2.12.6), libfreetype6 (>= 2.8), libgcc-s1 (>= 4.2), libwayland-client0 (>= 1.11.0), libwayland-egl1 (>= 1.15.0), libxkbcommon-x11-0, ncurses-term	
alsa-topology-conf		
alsa-ucm-conf	libasound2t64 (>= 1.2.15)	
apt	base-passwd (>= 3.6.1) | adduser, sqv (>= 1.3.0), libapt-pkg7.0 (>= 3.3.2), debian-archive-keyring, libc6 (>= 2.38), libgcc-s1 (>= 3.0), libseccomp2 (>= 2.4.2), libssl3t64 (>= 3.0.0), libstdc++6 (>= 13.1), libsystemd0	ca-certificates
at-spi2-common		
at-spi2-core	libatspi2.0-0t64 (= 2.61.1-1), libc6 (>= 2.34), libdbus-1-3 (>= 1.10), libglib2.0-0t64 (>= 2.80.0), libsystemd0, libx11-6, libxtst6 (>= 2:1.2.5), at-spi2-common, gsettings-desktop-schemas	
base-files		
base-passwd	libc6 (>= 2.34), libdebconfclient0 (>= 0.145), libselinux1 (>= 3.1~)	debconf (>= 0.5) | debconf-2.0
bash	base-files (>= 2.1.12), debianutils (>= 5.6-0.1)	bash-completion
bash-completion		
bat	libc6 (>= 2.39), libgcc-s1 (>= 4.2), libgit2-1.9 (>= 1.9.0), libonig5 (>= 6.8.1)	
binutils	libbinutils (= 2.47-2), libc6 (>= 2.38), libgcc-s1 (>= 3.0), libgprofng0 (>= 2.45.50), libstdc++6 (>= 13.1), binutils-common (= 2.47-2), binutils-x86-64-linux-gnu (= 2.47-2)	
binutils-common		
binutils-x86-64-linux-gnu	binutils-common (= 2.47-2), libbinutils (= 2.47-2), libc6 (>= 2.38), libctf-nobfd0 (>= 2.36), libctf0 (>= 2.36), libjansson4 (>= 2.14), libsframe3 (>= 2.45.50), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.1.4)	
bsdutils	libc6 (>= 2.38), libsystemd0 (>= 254)	bsdextrautils
bubblewrap	libc6 (>= 2.38), libcap2 (>= 1:2.10), libselinux1 (>= 3.1~)	
ca-certificates	openssl (>= 1.1.1), debconf (>= 0.5) | debconf-2.0	
clang	clang-21 (>= 1:21.1.6-1)	
clang-21	libc6 (>= 2.34), libclang-cpp21 (>= 1:21.1.8), libgcc-s1 (>= 3.0), libllvm21 (= 1:21.1.8-10), libstdc++6 (>= 11), libstdc++-15-dev, libgcc-15-dev, libobjc-15-dev, libclang-common-21-dev (= 1:21.1.8-10), llvm-21-linker-tools (= 1:21.1.8-10), libclang1-21 (= 1:21.1.8-10), libc6-dev, binutils	llvm-21-dev, python3, clang-tools-21
clang-tools-21	libc6 (>= 2.38), libclang-cpp21 (>= 1:21.1.8), libclang1-21 (>= 1:21.1.4), libgcc-s1 (>= 3.3), libllvm21 (>= 1:21.1.0), libstdc++6 (>= 11), libxml2-16 (>= 2.14.1), libz3-4 (>= 4.13.3), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.1.4), clang-21 (= 1:21.1.8-10), python3:any	
coreutils		
cpp	cpp-16 (>= 16.1.0-3~), cpp-x86-64-linux-gnu (= 4:16.1.0-3)	
cpp-16	gcc-16-base (= 16.2.0-1), cpp-16-x86-64-linux-gnu (= 16.2.0-1)	
cpp-16-x86-64-linux-gnu	gcc-16-base (= 16.2.0-1), libc6 (>= 2.38), libgmp10 (>= 2:6.3.0+dfsg), libisl23 (>= 0.15), libmpc3 (>= 1.1.0), libmpfr6 (>= 4.2.0), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.1.4)	
cpp-x86-64-linux-gnu	cpp-16-x86-64-linux-gnu (>= 16.1.0-3~)	
curl	libcurl4t64 (= 8.22.0~rc2-2), libc6 (>= 2.43), zlib1g (>= 1:1.1.4)	bash-completion
dash	debianutils (>= 5.6-0.1)	
dbus	dbus-bin (= 1.16.2-5+b1), dbus-daemon (= 1.16.2-5+b1), dbus-system-bus-common (>= 1.16.2-5), libc6 (>= 2.34), libdbus-1-3 (= 1.16.2-5+b1), libexpat1 (>= 2.1~beta3), libsystemd0	
dbus-bin	libc6 (>= 2.38), libdbus-1-3 (= 1.16.2-5+b1)	
dbus-daemon	dbus-bin (= 1.16.2-5+b1), dbus-session-bus-common (>= 1.16.2-5), systemd | systemd-standalone-tmpfiles | systemd-tmpfiles, libapparmor1 (>= 2.8.94), libaudit1 (>= 1:2.2.1), libc6 (>= 2.34), libcap-ng0 (>= 0.7.9), libdbus-1-3 (= 1.16.2-5+b1), libexpat1 (>= 2.1~beta3), libselinux1 (>= 3.1~), libsystemd0	
dbus-session-bus-common		
dbus-system-bus-common	systemd | systemd-standalone-sysusers | systemd-sysusers	
dbus-user-session	dbus-daemon (= 1.16.2-5+b1) | dbus-broker, dbus-session-bus-common (>= 1.16.2-5), libpam-systemd, systemd	systemd-sysv
dconf-gsettings-backend	dconf-service (<< 0.49.0-4.1~), dconf-service (>= 0.49.0-4), libdconf1 (= 0.49.0-4+b1), libc6 (>= 2.14), libglib2.0-0t64 (>= 2.80.0)	
dconf-service	default-dbus-session-bus | dbus-session-bus, libdconf1 (= 0.49.0-4+b1), procps, libc6 (>= 2.34), libglib2.0-0t64 (>= 2.83.0)	dconf-gsettings-backend
debconf		apt (>= 2.9.11~) | apt-utils, debconf-i18n
debian-archive-keyring		
debianutils		
diffutils		
dmsetup	libc6 (>= 2.38), libdevmapper1.02.1 (>= 2:1.02.197)	
dpkg	tar (>= 1.28-1)	
